" ";"I: First Blood (1982)";"II: Rambo: First Blood Part II (1985)";"III: Rambo III (1988)";"IV: Rambo (2008)"
Number of bad guys killed by Rambo with his shirt on;1;12;33;83
Number of bad guys killed by Rambo with his shirt off;0;46;45;0
Number of bad guys killed by Rambo no matter how attired;1;58;78;83
Number of bad guys killed by accomplices of Rambo acting on their own;0;10;17;40
Number of good guys killed by bad guys;0;1;37;113
Total number of people killed;1;69;132;236
Number of people killed per minute;0,01;0,72;1,3;2,59
Time at which the first person is killed (mins:secs);29:31;33:34;41:09;3:22
Number of people killed per minute from that point until the end of the film (not including the ending credits);0,02;1,18;2,39;3,04
Sequences in which Rambo is shot at without significant result;12;24;38;2
Number of sequences in which good guys are tortured by bad guys;2;5;7;3
